TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
2019-05-21 11:05:57.832,1.5072887,1.6189214,0.9968325,1.561252,0.93307734,0.79584557,0.8610361,1.1002362,0.6727655,0.7142202,1.0258375,0.94660205,0.5061172,0.20358393,0.44253394,0.5814074,0.13840482,-0.3307508,-0.049589522,0.0053422777,846.55676,967.8388,828.4249,834.0659,785.31134,0.1728515625,-0.108154296875,0.9671630859375,-1.1962890625,4.35150146484375,4.50103759765625,1,1.0,1.0,1.0,1.0,22.75
2019-05-21 11:05:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-21 11:05:58.844,1.5072887,1.610122,1.1816694,1.561252,0.93307734,0.97829473,0.8765172,1.1002362,0.6727655,0.7648623,0.29377404,0.94660205,0.5061172,0.40452412,0.48230764,0.5814074,0.13840482,-0.21647662,0.18527614,0.0053422777,856.63007,932.381,841.7216,848.97437,837.28937,0.1627197265625,-0.111572265625,0.965087890625,-1.263580322265625,4.523468017578125,4.44122314453125,1,1.0,1.0,1.0,1.0,22.75
2019-05-21 11:05:59.867,0.44245708,0.8579618,0.7461208,0.22671352,0.14148162,0.018687762,0.3336245,0.41981298,0.43311158,-0.03628842,0.08734003,0.5872724,0.37720793,0.051073246,0.32970127,0.35717762,0.12870924,-0.27798888,-0.07973933,0.11144145,844.94507,909.41394,846.9597,847.76556,844.5421,0.16473388671875,-0.11199951171875,0.9627685546875,-1.375732421875,3.81317138671875,4.23187255859375,1,1.0,1.0,1.0,1.0,22.75
2019-05-21 11:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-21 11:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-21 11:06:00.882,0.4135191,1.2625793,0.85476226,0.27336347,0.015223516,0.814599,-0.07676665,0.40364033,0.27243698,0.44054002,-0.0143888565,0.5663757,0.3078562,0.1443493,0.21040721,0.3602686,0.13588099,-0.18729503,-0.14858878,0.072279535,862.27106,908.60803,841.31866,859.45056,833.663,0.1796875,-0.10601806640625,0.96563720703125,-1.128997802734375,4.478607177734375,4.074859619140625,1,1.0,1.0,1.0,1.0,22.75
2019-05-21 11:06:01.883,0.4135831,1.6010443,0.9110425,-0.07155842,-0.37140968,1.2479088,0.0867677,-0.13612889,0.22489141,0.2001579,-0.1202462,0.10596798,0.104360744,0.13847852,0.13630277,0.08332887,0.08517004,-0.23535639,-0.15961954,-0.045492053,855.0183,882.8205,848.1685,848.97437,851.79486,0.1785888671875,-0.102783203125,0.96282958984375,-1.27105712890625,4.74029541015625,3.701019287109375,1,1.0,1.0,1.0,1.0,22.75
2019-05-21 11:06:02.906,0.5206557,0.6765481,-0.021150975,-0.08487695,0.6133232,0.08063188,-0.37541085,-0.041185826,0.45312244,0.10184057,-0.2670184,0.3466899,0.35173365,0.1701136,0.15122335,0.2706575,-3.3744487E-5,-0.0510623,-0.14542824,0.044515815,861.06226,900.54944,840.9158,855.0183,841.31866,0.1708984375,-0.1041259765625,0.96466064453125,-1.263580322265625,4.314117431640625,4.164581298828125,1,1.0,1.0,1.0,1.0,22.75
2019-05-21 11:06:03.929,0.3875016,0.5752024,-0.14270838,0.31532302,-0.01495042,-0.14313759,-0.28429568,0.18518625,0.50123435,0.012617683,-0.18236588,0.41923776,0.22669844,0.21442412,0.09170658,0.35285965,-0.067329615,-0.039988875,-0.14030436,-0.023064807,849.7802,874.35895,848.5714,850.58606,808.2784,0.18218994140625,-0.1016845703125,0.96502685546875,-0.665435791015625,3.865509033203125,4.11224365234375,1,1.0,1.0,1.0,1.0,22.75
