TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
2019-05-20 12:51:19.224,0.35225227,0.0,1.5847732,0.3500814,0.42332882,0.0,0.94582176,-0.059929542,0.76897377,0.0,1.5967331,0.69826925,0.57144225,0.0,1.029756,0.46651545,0.12777594,0.0,0.39927188,0.23980078,858.24176,1006.52014,767.1795,861.06226,848.5714,0.47393798828125,0.1265869140625,0.86724853515625,-1.5850830078125,4.29168701171875,2.893524169921875,1,1.0,1.0,1.0,1.0,27.05
2019-05-20 12:51:20.250,0.59180135,0.0,1.3997794,0.639466,0.63359314,0.0,1.1263252,0.41751242,0.80254525,0.0,1.4170961,0.7797349,0.6011567,0.0,0.9433824,0.45847836,0.22661518,0.0,0.37757707,0.22842649,887.6557,1231.7583,754.68866,855.0183,817.5458,0.4774169921875,0.13250732421875,0.86846923828125,-1.435546875,3.880462646484375,4.41131591796875,1,1.0,1.0,1.0,1.0,27.05
2019-05-20 12:51:21.282,1.2653118,0.0,1.7211251,1.3397175,0.9067256,0.0,0.9309146,0.89275074,0.99965197,0.0,1.2036414,0.9602938,0.6156201,0.0,0.937179,0.6036263,0.20458351,0.0,0.5879816,0.2249891,871.9414,1116.9231,761.9414,859.85345,844.94507,0.48675537109375,0.1268310546875,0.86175537109375,-0.979461669921875,4.26177978515625,5.809478759765625,1,1.0,2.0,1.0,1.0,27.05
2019-05-20 12:51:22.288,0.716173,0.0,1.9455582,0.4877415,0.3577626,0.0,0.4571439,0.33360392,0.6523858,0.0,1.1558074,0.515414,0.48550323,0.0,0.97801983,0.5864696,0.08605339,0.0,0.5570521,0.3447625,891.28204,1097.9854,24.981686,896.1172,846.9597,0.4041748046875,0.1239013671875,0.88677978515625,-3.102874755859375,10.69183349609375,3.4991455078125,1,1.0,1.0,1.0,1.0,27.05
2019-05-20 12:51:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2019-05-20 12:51:23.290,1.131956,0.0,1.9949306,1.155878,0.60823,0.0,0.35624734,0.36785352,0.6438219,0.0,1.1325237,0.6375558,0.67643696,0.0,1.0124345,0.5868464,0.22243328,0.0,0.43375108,0.38359436,838.49817,1167.2894,360.6227,848.5714,853.4066,0.50927734375,0.140380859375,0.84515380859375,-2.459869384765625,4.964599609375,5.226287841796875,1,1.0,2.0,4.0,1.0,27.05
2019-05-20 12:51:24.313,1.2020621,0.0,1.9949306,1.217452,0.77084285,0.0,0.35624734,0.49860817,0.9514424,0.0,1.1325237,0.78801215,0.71730596,0.0,1.0124345,0.60382414,0.2953301,0.0,0.43375108,0.48671436,835.6777,1073.4066,959.7802,834.0659,858.24176,0.50933837890625,0.12579345703125,0.84857177734375,-1.30096435546875,5.1739501953125,5.62255859375,1,1.0,2.0,1.0,1.0,27.05
2019-05-20 12:51:25.337,0.61443317,0.0,1.9949306,0.6402236,0.44923642,0.0,0.35624734,0.03265773,0.9269659,0.0,1.1325237,0.6841623,0.6967525,0.0,1.0124345,0.53048176,0.26714867,0.0,0.43375108,0.44262117,859.85345,1147.9487,982.74725,863.8828,813.91943,0.5032958984375,0.0888671875,0.84600830078125,-8.49365234375,-6.930999755859375,-35.866241455078125,1,1.0,4.0,1.0,1.0,27.05
2019-05-20 12:51:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2019-05-20 12:51:26.351,0.7703287,0.0,1.9949306,0.5944148,0.45434758,0.0,0.35624734,0.23218721,0.84042525,0.0,1.1325237,0.8122761,0.67570716,0.0,1.0124345,0.6804765,0.17047925,0.0,0.43375108,0.5069138,848.5714,784.10254,1309.9268,834.87177,848.5714,0.5731201171875,0.13336181640625,0.82562255859375,-2.370147705078125,0.800018310546875,-1.637420654296875,1,1.0,4.0,1.0,1.0,27.05
2019-05-20 12:51:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-20 12:51:27.370,0.7953051,0.0,1.9949306,0.68506974,0.4870768,0.0,0.35624734,0.35384408,0.82064176,0.0,1.1325237,0.70827967,0.6631328,0.0,1.0124345,0.50529575,0.091163516,0.0,0.43375108,0.4903415,853.4066,511.3187,950.5128,853.00366,789.7436,0.54998779296875,0.12603759765625,0.8170166015625,-3.06549072265625,4.9945068359375,3.925323486328125,1,1.0,2.0,1.0,1.0,27.02
