TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
2019-05-13 15:40:46.764,0.5070615,0.95218486,1.0334516,0.55634505,0.09617462,0.38670316,0.5402378,0.39846545,0.9884265,0.27989995,0.44262108,1.3010392,1.1760235,0.6342976,0.16508669,1.0117229,1.3351676,0.5856336,-0.020202186,1.1330802,840.10986,860.2564,868.71796,834.0659,880.80585,0.11944580078125,0.08392333984375,0.972900390625,-2.40753173828125,4.373931884765625,3.7982177734375,1,1.0,1.0,1.0,1.0,47.14
2019-05-13 15:40:47.773,0.59612226,0.8138713,-0.027173204,0.5542725,0.36032534,0.28009802,-0.19120613,0.50086164,1.0780764,0.21358144,0.26273477,1.3033297,1.1206027,0.69321406,0.34169325,1.0970767,1.2373954,0.63497686,0.057721753,1.081185,843.73627,856.63007,861.8681,846.9597,862.674,0.11865234375,0.09014892578125,0.9791259765625,-1.0467529296875,4.403839111328125,4.007568359375,1,1.0,1.0,1.0,1.0,47.14
2019-05-13 15:40:48.775,0.45888722,-0.09466386,-0.6414038,0.4294294,0.51694643,-0.20572825,-0.489203,0.2996583,0.8390659,0.29905024,0.09363003,0.6471002,1.1191262,0.6803189,0.47248662,1.0029083,1.1930189,0.6542644,0.0056396266,1.0616932,825.2015,858.6447,859.85345,859.0476,862.674,0.1195068359375,0.087646484375,0.9794921875,-1.547698974609375,4.2767333984375,3.93280029296875,1,1.0,1.0,1.0,1.0,47.14
2019-05-13 15:40:49.805,0.088651106,-0.20783138,-0.46624583,0.31354463,0.3557448,-0.36574584,-0.6108951,0.3614367,1.2757759,0.30996197,0.11672548,0.9980105,1.1179378,0.852244,0.32013118,0.91254777,1.2234067,0.6569615,0.12757516,1.0955971,830.0366,854.61536,865.09155,837.28937,920.293,0.09942626953125,0.07659912109375,0.9788818359375,-1.77947998046875,4.77020263671875,4.239349365234375,1,1.0,1.0,1.0,1.0,47.14
2019-05-13 15:40:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:40:50.822,0.1545698,0.45200586,1.3943045,0.5142411,0.21803348,-0.09192143,0.84692574,0.52746713,1.2480758,0.37193394,0.014017852,0.9156792,1.2055439,0.95417076,0.30065665,0.97268313,1.1139659,0.66372865,0.18279074,0.9860498,834.87177,842.9304,853.4066,871.9414,843.73627,0.1094970703125,0.086181640625,0.98077392578125,-1.248626708984375,4.583282470703125,3.850555419921875,1,1.0,1.0,1.0,1.0,47.14
2019-05-13 15:40:51.851,0.07127434,0.5441262,1.5659586,0.45627934,0.2615126,0.106405415,0.9666237,-0.020048494,0.887541,0.22989513,0.2114158,0.9065646,1.2143276,0.7258363,0.31572655,1.0911828,1.0014609,0.8144281,0.095685326,0.94662535,850.18317,855.0183,857.4359,861.4652,867.50916,0.10748291015625,0.084716796875,0.981201171875,-1.71966552734375,4.433746337890625,4.007568359375,1,1.0,1.0,1.0,1.0,47.14
2019-05-13 15:40:52.872,0.3595147,-0.07089576,-0.4214133,0.27066177,0.6804566,-0.3088132,-0.591883,0.34692246,0.9707408,-0.053610004,0.093621746,1.0465878,0.8964238,0.57496583,0.3504836,1.0078096,1.0492524,0.83926874,0.112302184,0.943854,824.3956,887.25275,854.21246,844.1392,842.9304,0.11505126953125,0.08746337890625,0.98333740234375,-1.054229736328125,4.5758056640625,4.254302978515625,1,1.0,1.0,1.0,1.0,47.14
2019-05-13 15:40:53.888,0.1993733,-0.14876677,-0.41974622,-0.072743095,0.5127767,-0.44992384,-0.59601575,0.5860551,1.1221459,0.115428194,-0.014927154,1.2617053,0.9592768,0.575707,0.42099476,0.9772048,0.9882414,0.71398014,0.19257316,1.0214976,846.1539,869.5238,864.2857,865.4945,869.92676,0.0919189453125,0.08160400390625,0.98388671875,-0.4486083984375,4.50103759765625,5.794525146484375,1,1.0,1.0,1.0,1.0,47.11
2019-05-13 15:40:54.924,0.15344967,0.009900337,-0.4318478,0.1356053,0.45114663,-0.24330924,-0.619265,0.434087,1.2570146,0.16711493,0.096364364,1.1820359,0.9503799,0.6646464,0.3853556,0.8694617,0.88211286,0.7972362,0.22222042,1.0321653,862.674,858.24176,865.89746,866.7033,815.5311,0.10186767578125,0.0889892578125,0.97894287109375,-1.18133544921875,4.47113037109375,3.72344970703125,1,1.0,1.0,1.0,1.0,47.11
2019-05-13 15:40:55.936,0.111420825,0.07954339,-0.5636169,0.3131149,0.39178583,-0.44328752,-0.73134464,0.48257446,1.1652524,0.23150003,0.056850534,1.1638087,1.0808263,0.8034811,0.34794572,1.0703853,0.9427763,0.93972296,0.18826324,0.8585631,829.6337,858.6447,856.2271,851.79486,839.304,0.10308837890625,0.09320068359375,0.983642578125,-1.435546875,4.02252197265625,4.314117431640625,1,1.0,1.0,1.0,1.0,47.11
2019-05-13 15:40:56.974,0.35205513,0.44636217,-0.36404783,0.27681175,0.46128455,0.040148553,-0.7576056,0.3267744,0.9108654,0.24452025,-0.03636178,1.0177492,1.0091689,0.71730214,0.24892452,1.0249348,0.9277474,0.92700326,0.14345159,0.9222765,836.8865,851.79486,856.63007,851.79486,874.35895,0.1048583984375,0.09039306640625,0.98358154296875,-1.4654541015625,5.14404296875,4.074859619140625,1,1.0,1.0,1.0,1.0,47.11
2019-05-13 15:40:57.989,0.30047676,0.38280687,-0.27030453,0.47535944,0.47030511,0.15307078,-0.5554516,0.46392968,0.79140306,-0.033390246,0.24439254,1.0778966,0.97590196,0.6087677,0.24163985,0.87918705,0.990128,0.8212845,0.20529549,0.96971124,838.0952,868.315,862.27106,845.34796,855.82416,0.1058349609375,0.083740234375,0.9884033203125,-1.203765869140625,3.790740966796875,4.4561767578125,1,1.0,1.0,1.0,1.0,47.11
