TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
2019-05-13 15:59:37.955,0.43424767,-0.2086543,-0.3405087,0.033129252,0.34440196,-0.44105706,-0.3489499,-0.034481417,0.79518986,0.25375357,0.054202046,0.70503,0.75472194,0.749004,0.53628963,0.94614005,0.5732246,0.6267969,0.30396843,0.78518784,853.4066,858.24176,857.03296,864.2857,815.9341,0.0927734375,0.1766357421875,0.9736328125,-1.07666015625,3.7982177734375,4.194488525390625,1,1.0,1.0,1.0,1.0,44.31
2019-05-13 15:59:38.971,0.032991078,-0.13021411,-0.10782274,-0.16921344,0.14536388,-0.24972309,-0.35059774,0.1475831,0.8322667,0.15499522,-0.10102702,0.925466,0.79792553,0.81096584,0.64126664,0.8175335,0.50484407,0.5765509,0.34793177,0.7217324,860.2564,842.52747,847.76556,881.2088,855.42126,0.0936279296875,0.17645263671875,0.97052001953125,-1.158905029296875,5.121612548828125,3.850555419921875,1,1.0,1.0,1.0,1.0,44.31
2019-05-13 15:59:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:39.985,-0.24177746,1.1584426,0.96704316,-0.1700831,-0.022516975,0.29183617,0.39086413,0.1611153,0.8031903,0.3193,0.1653761,0.90432054,0.8791335,0.68045306,0.7018535,0.7186936,0.42378902,0.5239981,0.42429808,0.86093706,844.5421,854.61536,858.24176,844.1392,860.2564,0.0906982421875,0.1749267578125,0.96893310546875,-1.5850830078125,4.104766845703125,4.14215087890625,1,1.0,1.0,1.0,1.0,44.31
2019-05-13 15:59:41.019,0.34256464,0.6459316,0.1766612,0.18931276,0.06328905,0.018521888,-0.4340471,0.14845625,0.5476176,0.27445492,-0.045115303,0.73214155,0.7461255,0.6246263,0.6614368,0.74517256,0.6876656,0.467512,0.21782447,0.5886674,856.2271,859.45056,853.8095,846.55676,823.5897,0.09527587890625,0.17303466796875,0.9688720703125,-1.831817626953125,3.57391357421875,3.745880126953125,1,1.0,1.0,1.0,1.0,44.31
2019-05-13 15:59:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:42.051,0.42588764,0.45417035,-0.03748498,0.2595359,0.23203108,0.07012559,-0.4909114,0.21702759,0.58892846,0.4121815,0.122390494,0.7247651,0.9231406,0.79139864,0.57799816,0.7009089,0.65893275,0.6403191,0.5937651,0.518825,842.52747,859.85345,849.7802,859.45056,816.337,0.09259033203125,0.17547607421875,0.96856689453125,-1.278533935546875,4.246826171875,4.344024658203125,1,1.0,1.0,1.0,1.0,44.31
2019-05-13 15:59:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:43.054,0.76251084,1.1547565,0.7808532,0.43093333,0.6661901,0.504482,0.33527032,0.30606908,1.1972884,0.3336747,1.008866,0.78537416,1.0815623,0.8607293,0.7081009,0.850085,0.6058934,0.8161017,0.5535033,0.45210803,859.85345,1012.96704,855.0183,859.0476,823.5897,0.0601806640625,0.22698974609375,0.9647216796875,0.620574951171875,-0.28411865234375,-14.781646728515625,1,1.0,1.0,1.0,1.0,44.31
2019-05-13 15:59:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:44.059,0.76251084,1.3719113,1.1447281,0.43093333,0.6661901,0.68481374,0.5759683,0.30606908,1.1972884,0.17329408,1.0029947,0.78537416,1.0815623,0.76175404,0.906421,0.850085,0.6058934,0.736547,0.7325058,0.45210803,879.59705,936.8132,825.6044,843.3333,797.3993,0.0892333984375,-0.0640869140625,0.947998046875,-23.2379150390625,-10.0189208984375,27.454833984375,1,1.0,1.0,1.0,1.0,44.31
2019-05-13 15:59:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2019-05-13 15:59:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:45.068,0.76251084,1.3719113,1.2918005,0.43093333,0.6661901,0.68481374,0.6797411,0.30606908,1.1972884,0.17329408,0.350577,0.78537416,1.0815623,0.76175404,1.0154446,0.850085,0.6058934,0.736547,1.0721825,0.45210803,518.97437,938.4249,770.40295,512.1245,823.9927,0.43316650390625,-0.04534912109375,0.900146484375,-3.46923828125,0.61309814453125,2.100982666015625,1,2.0,1.0,1.0,2.0,44.31
2019-05-13 15:59:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:46.073,0.76251084,1.3719113,1.2918005,0.43093333,0.6661901,0.68481374,0.6797411,0.30606908,1.1972884,0.17329408,0.350577,0.78537416,1.0815623,0.76175404,1.0154446,0.850085,0.6058934,0.736547,1.0721825,0.45210803,671.28204,689.011,765.16486,657.98535,815.9341,0.3526611328125,-0.051025390625,0.9278564453125,-3.7982177734375,0.58319091796875,2.100982666015625,1,2.0,4.0,2.0,2.0,44.31
2019-05-13 15:59:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:47.100,0.76251084,1.3719113,1.2918005,0.43093333,0.6661901,0.68481374,0.6797411,0.30606908,1.1972884,0.17329408,0.350577,0.78537416,1.0815623,0.76175404,1.0154446,0.850085,0.6058934,0.736547,1.0721825,0.45210803,767.98535,770.0,777.25275,759.5238,844.5421,0.3819580078125,-0.07318115234375,0.91241455078125,-1.375732421875,3.072967529296875,4.254302978515625,1,2.0,1.0,1.0,2.0,44.28
2019-05-13 15:59:48.117,0.76251084,1.4743607,1.2918005,0.43093333,0.6661901,0.4707083,0.6797411,0.30606908,1.1972884,0.08893,0.350577,0.78537416,1.0815623,0.108066924,1.0154446,0.850085,0.6058934,-0.3613039,1.0721825,0.45210803,838.49817,832.4542,903.36993,857.03296,850.18317,0.3814697265625,-0.0628662109375,0.91180419921875,-0.067291259765625,5.39825439453125,4.344024658203125,1,2.0,1.0,1.0,2.0,44.28
2019-05-13 15:59:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:49.133,1.4843405,1.6926568,1.7920996,0.43093333,0.89610547,0.30275953,0.86575675,0.30606908,1.4261885,0.18785442,0.47391212,0.78537416,0.6609522,0.031193515,0.057833076,0.850085,0.5188476,-0.36854678,-0.16463812,0.45210803,975.09155,1073.0037,985.16486,994.0293,838.49817,0.34039306640625,-0.0589599609375,0.92266845703125,0.306549072265625,7.117919921875,4.194488525390625,1,1.0,1.0,1.0,1.0,44.28
2019-05-13 15:59:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 15:59:50.156,1.2700316,1.866102,1.7920996,1.441882,0.7769627,0.07866744,0.86575675,0.51531917,1.3100145,0.12839629,0.47391212,1.0102937,1.0842524,-0.09848445,0.057833076,1.0696354,0.8518081,-0.3754561,-0.16463812,0.84706724,819.15753,913.44324,1000.07324,830.0366,850.989,0.350830078125,-0.03704833984375,0.92669677734375,-3.013153076171875,-0.9271240234375,1.86920166015625,1,1.0,1.0,1.0,1.0,44.28
